#separator:Tab
#html:false
#deck:Arteterapie
#columns:Front	Back	Tags
#tags column:3
Případ 12 (DMO + kombinované postižení, 12 let): proč právě arteterapie? (bio·psycho·sociál)	Na NEJTĚŽŠÍ úrovni (kvadruparéza + strabismus + epilepsie + dysartrie + autistické projevy) nabízí MULTISENZORICKÝ kanál tam, kde selhává řeč i přesný pohyb. BIO: bazální stimulace (hmat/světlo/zvuk); POZOR spasticita a bezpečí kvůli epilepsii. PSYCHO: prožitek a kontakt místo výkonu, struktura a klid. SOCIÁL: neverbální kontakt s terapeutem. POZOR: arteterapie NELÉČÍ postižení — je podpůrná. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.41–42, 46–47	pripad12 arteterapie indikace
Případ 12: proč PROŽITEK místo produktu a co to znamená v praxi?	Na nejtěžší úrovni se NEČEKÁ „dílo” — léčebně účinný je SMYSLOVÝ PROŽITEK a KONTAKT, ne výsledek. Nehodnotit esteticky, nepřeceňovat symboliku. Cílem sezení je oslovit smysly, navázat kontakt a dát strukturu/klid, ne vytvořit obrázek. — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; klinicky Vágnerová STR.42	pripad12 arteterapie prozitek-misto-produktu
Případ 12: co je bazální a multisenzorická tvorba a jak ji vést?	BAZÁLNÍ stimulace = oslovení základního smyslového a tělesného vnímání u nejtěžšího postižení. MULTISENZORICKÁ tvorba = zapojení více smyslů (hmat, zrak — kontrast kvůli strabismu, sluch, čich). Vrstvit smyslové podněty; výborně se propojuje s muzikoterapií (zvuk, vibrace). — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.42	pripad12 arteterapie-technika bazalni-multisenzoricka
Případ 12: co znamená PLNÁ dopomoc a jak zachovat volbu klienta?	PLNÁ dopomoc = tvorbu zcela vede ruka terapeuta. Klient přesto SPOLUROZHODUJE — reakcí a výběrem podnětu (barva, materiál, směr). Tím se i při úplné dopomoci zachová prožitek aktérství a kontakt; nejde o pasivní „dělání za něj”. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.41	pripad12 arteterapie plna-dopomoc
Případ 12: jak v arteterapii zajistit BEZPEČÍ kvůli epilepsii?	Klidné, PŘEDVÍDATELNÉ prostředí; pozor na spouštěče (blikání/světelné efekty). Sledovat ÚNAVU a útlum PO ZÁCHVATU — nezaměňovat za nezájem/lenost. Krátké jednotky kvůli kolísavé aktivační úrovni. Epilepsii nepodceňovat ani nestigmatizovat. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.46–47	pripad12 arteterapie bezpeci-epilepsie
Případ 12: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: BAZÁLNÍ/multisenzorická arteterapie, převážně INDIVIDUÁLNÍ, s PLNOU dopomocí, NEDIREKTIVNÍ, PROŽITEK-orientovaná, vedená KLIDNĚ a BEZPEČNĚ (epilepsie). Cíle: smyslový prožitek, kontakt, struktura a klid, regulace, prevence izolace. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; cíle klinicky Vágnerová STR.41–42, 46–47	pripad12 arteterapie volba-pristupu
Případ 12: čeho se v arteterapii VYVAROVAT?	Nečekat „dílo” ani je nehodnotit esteticky. Nepodceňovat intelekt (dysartrie/záškuby ≠ MR) a NEOZNAČIT autistické projevy jako PAS bez dif. dg. Nepodceňovat epilepsii (spouštěče, útlum ≠ nezájem). Netlačit a nespěchat (spasticita, kolísavá aktivace). Nepřeceňovat symboliku díla. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.41–43, 46–47	pripad12 arteterapie chyby
Návrh: jak vypadá cyklus arteterapeutického sezení u kombinovaného postižení?	1 Bezpečí + polohování → 2 Smyslové oslovení (hmat/světlo/zvuk) → 3 Volba podnětu klientem → 4 Tvorba s plnou dopomocí → 5 Zklidnění a kontakt (↺). Krátce, klidně, bezpečně; cílem je smyslový prožitek a kontakt, ne produkt. — Zdroj: arte bazální struktura Šicková-Fabrici ⚠️ ověřit; bezpečí/klid klinicky Vágnerová STR.42, 46–47	pripad12 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 12 (smyslové → s dopomocí)?	Progrese: hmatové materiály → světlo a kontrast → zvuk/vibrace (muzikoterapie) → otisky s plnou dopomocí → malba vedená rukou terapeuta. Hmatová stimulace = prožitek bez nároku na pohyb; světlo/kontrast = zrakové oslovení (strabismus); zvuk/vibrace = propojení s muzikoterapií; malba vedená rukou = klient volí barvu/podnět. — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit	pripad12 arteterapie-technika techniky
Případ 12: jak se liší arteterapie u kombinovaného postižení od „čisté” DMO (případ 8)?	Případ 12 (nejtěžší, kombinované): BAZÁLNÍ/multisenzorická tvorba, PLNÁ dopomoc, prožitek místo produktu, převážně individuálně, bezpečí kvůli epilepsii. Případ 8 (kvadruparéza, „čistší”): ASISTOVANÁ PRODUKTIVNÍ tvorba s adaptovanými pomůckami, větší prostor pro aktérství a skupinu. Klíč: arteterapie je SOUČÁSTÍ koordinovaného týmu, ne izolovaná aktivita. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.41	pripad12 klientská skupina srovnani-12-8
Případ 13 (praktická slepota, sociální stažení): jakou roli má arteterapie?	Arteterapie BEZ ZRAKU → silně adaptovaná, HAPTICKÁ a multisenzorická (modelování, reliéf, struktura, vůně, zvuk). Dvojí cíl: rozvoj KOMPENZACE hmatem + přes SKUPINU překonat sociální stažení. Klíč: vizuální kvalita je IRELEVANTNÍ (proces > produkt); stažení = obranný postoj, ne porucha osobnosti. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR. 53, 65–66	pripad13 arteterapie indikace
Případ 13: proč arteterapie a na co cílí? (bio·psycho·sociál)	BIO: cílený rozvoj HMATU a sluchu jako kompenzace (výsledek učení, ne vrozená); modelování v haptickém prostoru. PSYCHO: zážitek úspěchu (VŠ předpoklady), pojmy s reálným obsahem proti VERBALISMU. SOCIÁL: skupina = drobné úspěšné kontakty proti stažení (navíc zraková vada je NEJMÉNĚ odmítané postižení). POZOR: arte neléčí zrakovou vadu. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR. 53, 65–67	pripad13 arteterapie bio-psycho-social
Jak vést arteterapii u praktické slepoty — čím se vyznačuje?	BEZ ZRAKU, přes HMAT (modelování, reliéf, struktura, materiály s texturou). MULTISENZORICKY (vůně, zvuk materiálů). Instrukce POPSAT slovy a VÉST RUKAMA (učení nápodobou je omezené); předměty osahat. Proti VERBALISMU dávat pojmům reálný hmatový obsah. STABILNÍ rozmístění materiálů (orientace hmatem/pamětí). Skupina po malých krocích. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR. 65–66	pripad13 arteterapie principy-u-slepoty
Případ 13: který arteterapeutický přístup zvolit a jaké cíle?	PRODUKTIVNÍ, HAPTICKÁ / multisenzorická, SKUPINOVÁ i individuální, proces-orientovaná. Cíle: rozvoj kompenzace hmatem, pojmy s reálným obsahem proti verbalismu, zážitek úspěchu a sebepojetí, a přes skupinu PŘEKONÁNÍ SOCIÁLNÍHO STAŽENÍ. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR. 53, 65–67	pripad13 arteterapie volba-pristupu
Případ 13: čeho se v arteterapii VYVAROVAT?	NESTAVĚT NA ZRAKU — žádné „nakresli, jak to vidíš“ (vizuální kvalita irelevantní). Nevykládat stažení jako poruchu osobnosti ani „nezájem“ (je to obranný postoj). Nepodceňovat intelekt (VŠ studentka). Nepřebírat za ni vše („nechat se vodit“ → posiluje izolaci). Nespoléhat na slova bez obsahu (verbalismus); netlačit do skupiny nátlakem. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR. 53, 65–67	pripad13 arteterapie chyby
Návrh: cyklus jednoho arteterapeutického sezení u praktické slepoty?	1 Naladění (osahat materiály) → 2 Hmatová rozcvička → 3 Haptická tvorba → 4 Sdílení hmatem + slovem → 5 Ocenění procesu (↺). Vše vedeno HMATEM a SLOVEM (ne zrakem), stálé rozmístění materiálů pro orientaci; dílo se vnímá a sdílí hmatem. — Zdroj: arte struktura Liebmann ⚠️ ověřit; kompenzace klinicky Vágnerová STR. 65–66	pripad13 arteterapie-technika cyklus-sezeni
Návrh konkrétních haptických technik pro případ 13 (jednoduché → náročnější)?	Progrese: hmatová rozcvička → MODELOVÁNÍ (hlína) → RELIÉF / struktura → multisenzorická koláž (textura, vůně, zvuk) → společné prostorové dílo. „Pojem hmatem“ = reálný obsah proti verbalismu; sdílení hmatem (prozkoumat dílo druhého rukama) = kontakt bez zraku. — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit	pripad13 arteterapie-technika techniky
Případ 13: jak arteterapie bojuje s verbalismem a sociálním stažením?	VERBALISMUS (pojmy bez reálného obsahu — barvy, krajina): tvorba dává pojmům REÁLNÝ HMATOVÝ obsah (ztvárnit pojem hmatem). STAŽENÍ (postojový stereotyp „nepřijímají mě“): skupinová arteterapie nabízí řadu drobných ÚSPĚŠNÝCH kontaktů, které stereotyp vyvracejí — bez nátlaku, po malých krocích. — Zdroj: arte Slavík / Liebmann ⚠️ ověřit; klinicky Vágnerová STR. 53, 66	pripad13 skupinová arteterapie verbalismus-stazeni
Případ 13 vs. 7 — jak se liší arteterapeutický plán? (opačné smyslové modality)	OPAČNÉ MODALITY → opačné těžiště technik. 13 = ZRAK chybí (praktická slepota) → arteterapie přes HMAT (modelování, reliéf, struktura, vůně, zvuk); vizuální techniky nelze. 7 = SLUCH postižen, zrak nedotčen → arte jako ideální VIZUÁLNÍ kanál, doprovod znakem/odezíráním. Stejné expresivní médium, jiný vstupní smysl. — Zdroj: klinicky Vágnerová STR. 65–68; arte ⚠️ ověřit	pripad13 klientská skupina srovnani-13-7
Případ 14 (paraplegie po úraze, 43 let): proč právě arteterapie? (bio·psycho·sociál)	Jde o ZÍSKANÉ (poúrazové) postižení → arteterapie dává bezpečný prostor pro ZPRACOVÁNÍ ZTRÁTY, ventil emocí a obnovu identity. BIO: HORNÍ KONČETINY ZACHOVÁNY → plná klasická tvorba. PSYCHO: ventil agrese/hořkosti, obnova rozbité identity, nový smysl. SOCIÁL: odvedení agrese od rodiny/personálu do díla, skupina vozíčkářů (vzory). POZOR: arteterapie NELÉČÍ paraplegii — je podpůrná. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.57, 61–62	pripad14 arteterapie indikace
Případ 14: proč jsou u paraplegie možné KLASICKÉ výtvarné techniky?	Protože HORNÍ KONČETINY jsou ZACHOVÁNY — na rozdíl od kvadruparézy (případy 8, 12) není třeba zásadních adaptací ani plné dopomoci. Lze plnohodnotnou kresbu, malbu, modelování, práci s hmotou; náročnost přiměřená dospělému. Klient tvoří SÁM (nevmanipulovat do role bezmocného). — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.57, 70	pripad14 arteterapie-technika klasicke-techniky
Případ 14: jak v arteterapii pracovat se ZTRÁTOU a obnovou identity?	Získané postižení rozbíjí identitu → tematická tvorba o tom, co bylo / co je / co může být. Respektovat FÁZE adaptace (latence → šok/popření → adaptace). Nevnucovat „pozitivní” témata a nepopírat ztrátu — nejdřív prostor pro těžké emoce, pak most k novému smyslu. Dát čas jako u somatické rehabilitace. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.61–62	pripad14 arteterapie zpracovani-ztraty
Případ 14: jak v arteterapii naložit s AGRESÍ klienta?	Slovní agrese a obviňování okolí je FÁZE vyrovnávání se ztrátou, NE charakterová vada. Terapeut ji PŘIJÍMÁ klidně, NEBERE osobně, netrestá. Tvorba slouží jako bezpečný VENTIL — zlost a hořkost jdou do díla, ne na rodinu a personál. To chrání vztahy. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.62	pripad14 arteterapie agrese-jako-ventil
Případ 14: které dělení arteterapie zvolit a proč nejdřív individuální?	PRODUKTIVNÍ (klasické techniky, ruce zachovány). Nejdřív INDIVIDUÁLNÍ — zpracování silných emocí a ztráty v bezpečí; pak SKUPINOVÁ s vozíčkáři (peer/vzory, naděje, nadhled). Jednoznačně ARTETERAPIE (terapeutický cíl — krize), ne artefiletika. — Zdroj: arte Liebmann ⚠️ ověřit; klinicky Vágnerová STR.61	pripad14 skupinová arteterapie deleni
Případ 14: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: PRODUKTIVNÍ (klasické techniky), nejdřív INDIVIDUÁLNÍ, pak SKUPINOVÁ (vozíčkáři), NEDIREKTIVNÍ, PROCES-orientovaná. Cíle: ventil emocí (agrese, hořkost), zpracování ztráty a obnova identity, hledání nového smyslu, posílení RESILIENCE. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR.61–62, 73	pripad14 arteterapie volba-pristupu
Případ 14: čeho se v arteterapii VYVAROVAT?	Nebrat agresi osobně a netrestat ji (je to fáze vyrovnávání). Nehodnotit dílo esteticky a nesrovnávat. Nevmanipulovat do role bezmocného přehnanou péčí/dopomocí (ruce fungují — tvoří sám). Nevnucovat „pozitivní” témata a nepopírat ztrátu. Nepřehlížet riziko deprese a posttraumatického stresu. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.61–62	pripad14 arteterapie chyby
Návrh: jak vypadá cyklus arteterapeutického sezení u získaného postižení (ztráta)?	1 Přijetí naladění (i agrese) → 2 Bezpečí a téma → 3 Vlastní tvorba (ventil) → 4 Reflektivní sdílení → 5 Most k novému smyslu (↺). Agrese se přijímá jako signál fáze vyrovnávání; tvorba je ventil i most k obnově identity — dát čas jako u somatické rehabilitace. — Zdroj: arte struktura Šicková-Fabrici/Liebmann ⚠️ ověřit; fáze klinicky Vágnerová STR.61–62	pripad14 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 14 (ventil → integrace)?	Progrese: expresivní čmárání/ventil → malba emocí (zlost/smutek) → téma „co jsem ztratil” → modelování/práce s hmotou → téma „nový směr/smysl”. Expresivní čmárání = ventil zlosti do díla; malba emocí = zpracování těžkých pocitů; „má cesta”/před a po úraze = identita; „nový směr” = hledání smyslu; skupina vozíčkářů = naděje a resilience. — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit	pripad14 arteterapie-technika techniky
Co je projekce v arteterapii a jak ji u případu 14 využít?	PROJEKCE = promítnutí vnitřního stavu (hořkosti, zlosti, smutku ze ztráty) do díla; základ arteterapeutické DIAGNOSTIKY i ventilu. U získaného postižení umožní bezpečně vyjádřit a zpracovat emoce kolem traumatu a přijmout změněnou identitu. Interpretovat citlivě, navázat na hledání nového smyslu. — Zdroj: Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.62	pripad14 arteterapie-diagnostika projekce
Případ 15 (rozštěp páteře + týrání, syndrom CAN): jakou roli má arteterapie?	Arteterapie jako BEZPEČNÝ KANÁL pro NEVYSLOVITELNÉ — obraz a hmota unesou trauma z týrání, na které dítě nemá nebo se neodváží mít slova. Klíč: BEZPEČÍ, předvídatelný RITUÁL a spolehlivý terapeutický VZTAH. POZOR na RE-TRAUMATIZACI — trauma se nevyvolává, klient určuje hloubku. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR. 181–182	pripad15 arteterapie indikace
Případ 15: proč arteterapie a na co cílí? (bio·psycho·sociál)	BIO: náhradní bezpečný kanál pro napětí místo SEBEPOŠKOZOVÁNÍ; jemná motorika i přes omezení DK. PSYCHO: vyjádření strachu/hněvu/viny bez slov, zážitek kontroly proti roli „špatného dítěte“ a negativnímu sebehodnocení. SOCIÁL: bezpečný vztah jako protiklad patologické vazby na týrajícího otce → obnova důvěry. POZOR: arte neodstraní vadu ani „nevymaže“ týrání. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR. 70, 182–183	pripad15 arteterapie bio-psycho-social
Jak vést arteterapii u týraného dítěte (CAN) — čím se vyznačuje?	BEZPEČÍ především (nejdřív ochrana — OSPOD — pak terapie). NEDIREKTIVNÍ doprovázení (direktiva hrozí re-traumatizací). Klient určuje TÉMA i HLOUBKU. Proces > produkt (nehodnotit esteticky — posílilo by přecitlivělost). PŘEDVÍDATELNOST a stálost (rituál, materiál, terapeut) léčí narušenou důvěru. Trpělivost se vztahovačností. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR. 181–183	pripad15 arteterapie principy-u-traumatu
Případ 15: který arteterapeutický přístup zvolit a jaké cíle?	PRODUKTIVNÍ tvorba, NEJDŘÍV INDIVIDUÁLNÍ (skupina až po stabilizaci důvěry), NEDIREKTIVNÍ, proces-orientovaná, PŘEDVÍDATELNÁ a strukturovaná. Cíle: bezpečné vyjádření traumatu, obnova důvěry a sebehodnocení, ventil napětí místo sebepoškozování. Vždy spolu se zajištěním bezpečí dítěte. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR. 181–183	pripad15 arteterapie volba-pristupu
Případ 15: čeho se v arteterapii VYVAROVAT?	Nevyvolávat trauma direktivním zadáním ani „rozborem“ díla (RE-TRAUMATIZACE). Nehodnotit dílo esteticky (posiluje přecitlivělost a očekávání neúspěchu). Netlačit na verbalizaci. Nereagovat ODMÍTNUTÍM na vztahovačnost a testování (je to obrana). Nestavět terapii bez zajištění bezpečí. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR. 182–183	pripad15 arteterapie chyby
Návrh: cyklus jednoho arteterapeutického sezení u týraného dítěte?	1 Naladění (bezpečný rituál) → 2 Uvolnění napětí → 3 Volná tvorba (klient vede) → 4 Sdílení dle ochoty → 5 Zklidnění a ocenění (↺). Stálý předvídatelný rituál; tempo i hloubku určuje klient; po vyjádření napětí VŽDY zklidnění a uzavření. — Zdroj: arte struktura Liebmann ⚠️ ověřit; bezpečí klinicky Vágnerová STR. 181–183	pripad15 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 15 (bezpečné → hlubší)?	Progrese: haptika/uvolnění → volná barevná stopa → „MOJE BEZPEČNÉ MÍSTO“ → modelování pocitů → příběh ve více obrazech. Hnětení/trhání = ventil napětí místo sebepoškozování; „bezpečné místo“ = pocit bezpečí a kontroly; modelování = haptika i přes omezení DK; skupina až po stabilizaci. — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit	pripad15 arteterapie-technika techniky
Co je projekce v arteterapii a jak ji u týraného dítěte využít bezpečně?	PROJEKCE = promítnutí vnitřního stavu (strach, hněv, vina) do díla; základ arteterapeutické DIAGNOSTIKY. U traumatu interpretovat OPATRNĚ a NEDIREKTIVNĚ — nevyvolávat, nenutit do výkladu; obraz nese tolik, kolik unese dítě. Riziko re-traumatizace při tlaku na interpretaci. — Zdroj: Šicková-Fabrici ⚠️ ověřit; opatrnost klinicky Vágnerová STR. 182	pripad15 arteterapie-diagnostika projekce
Případ 15 vs. 23 — jak se liší arteterapeutický plán? (zkušební past)	Stejná vada (rozštěp páteře), JINÉ jádro. 15 = chlapec 15 let + TÝRÁNÍ (CAN) → arteterapie hlavně jako bezpečný kanál pro trauma, obnova důvěry, pozor na re-traumatizaci. 23 = žena 30 let, závislost na matce → arteterapie pro AUTONOMII a aktérství (vlastní hlas, separace). Trauma × závislost = jiný cíl. — Zdroj: klinicky Vágnerová STR. 70, 181–183; arte ⚠️ ověřit	pripad15 klientská skupina srovnani-15-23
Případ 16 (dětský autismus F84.0 + smíšená porucha řeči, dívka 10 let): čím se arteterapie liší od Aspergera?	Řeč chybí/je echolalická a NENÍ používána ke komunikaci → těžiště je NEVERBÁLNÍ kanál: vizuální struktura/rozvrh, PIKTOGRAMY, senzomotorika a NÁPODOBA, rituál. U Aspergera (případ 2) se naopak hodně pracuje se symbolem, reflexí a emoční gramotností. Reflektivní dialog je tu minimální. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.86	pripad16 arteterapie definice
Případ 16: proč právě arteterapie a na co hlavně cílí? (bio·psycho·sociál)	Nabízí NEVERBÁLNÍ kanál tam, kde řeč selhává (echolálie). BIO: senzomotorika a kanál pro psychomotorický NEKLID, ale POZOR na přecitlivělost (zvuky, textury). PSYCHO: sebevyjádření bez slov a ventil afektu (afekt = primitivní komunikace). SOCIÁL: neverbální kontakt skrze nápodobu (nevytvoří hluboký vztah). POZOR: arteterapie NELÉČÍ autismus. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.84, 85–86	pripad16 arteterapie indikace
Jak vést arteterapii u dětského autismu — čím se vyznačuje?	NEVERBÁLNÍ kanál (dílo, piktogramy, výměnné karty). VIZUÁLNÍ STRUKTURA a rozvrh (jasný začátek a konec činnosti). SENZOMOTORIKA a NÁPODOBA (terapeut předvede, dítě opakuje), ne abstraktní symbol. OPAKOVÁNÍ a RITUÁL (nezatěžuje). OPATRNĚ se senzorickou přecitlivělostí. Odměna materiální, ne sociální pochvala. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.85–87	pripad16 arteterapie principy-u-autismu
Případ 16: jak řešit OMEZENOU ŘEČ a komunikaci v arteterapii?	Řeč je echolalická a není komunikací → nevést sezení mluveným slovem. Komunikovat přes DÍLO + PIKTOGRAMY a VÝMĚNNÉ/obrázkové KARTY (vazba na logopedii a AAK). Párovat obraz ↔ piktogram. Sdílení neverbální. Cíl = funkční neverbální komunikace, ne korekce echolálie. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; řeč mimo komunikaci Vágnerová STR.86	pripad16 arteterapie-technika neverbalni-komunikace
Případ 16: který arteterapeutický přístup zvolit a jaké cíle?	PRODUKTIVNÍ, převážně INDIVIDUÁLNÍ, nedirektivní, proces-orientovaná, SILNĚ STRUKTUROVANÁ s opakováním, NEVERBÁLNÍ a SENZOMOTORICKÁ. Cíle: neverbální sebevyjádření a komunikace, regulace napětí a neklidu, smyslový prožitek, jemná motorika. Skupina jen okrajově (nevytvoří vztahy). — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR.85–87	pripad16 arteterapie volba-pristupu
Případ 16: čeho se v arteterapii VYVAROVAT?	Nespoléhat na mluvenou instrukci a netlačit na verbální interpretaci (vést vizuálně a nápodobou). NEMĚNIT náhle rituál, materiál, místo ani terapeuta (změna dezorientuje → afekt). Nepřetěžovat SENZORICKY (lepkavé/studené/hlučné materiály). Sebepoškozování = obrana, ne zlobení. Nečekat motivaci sociální pochvalou. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.85–86	pripad16 arteterapie chyby
Návrh: cyklus jednoho arteterapeutického sezení u dětského autismu?	1 Vizuální rozvrh (piktogram) → 2 Haptická rozcvička → 3 Tvorba NÁPODOBOU → 4 Neverbální sdílení → 5 Konkrétní odměna (↺). Stejné pořadí, místo, materiál i terapeut; vedeno OBRÁZKEM a nápodobou, ne mluveným slovem; odměna materiální/strukturovaná. — Zdroj: arte struktura Liebmann ⚠️ ověřit; stálost a odměna klinicky Vágnerová STR.85–87	pripad16 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 16 (od jednodušších po náročnější)?	Progrese: otisky/haptika → volná stopa (nápodoba) → jednoduchá malba → modelování → párování obraz ↔ piktogram. Otisky a prstové barvy = senzomotorika a uvolnění neklidu; modelování = jemná motorika (pozor na texturu); párování obraz↔piktogram = funkční neverbální komunikace (AAK). — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit; rámec Vágnerová STR.85–86	pripad16 arteterapie-technika techniky
Případ 16: co je projekce a jak ji u dětského autismu interpretovat?	PROJEKCE = promítnutí vnitřního stavu do díla; základ arteterapeutické DIAGNOSTIKY. U dětského autismu interpretovat VELMI ZDRŽENLIVĚ — nepřeceňovat symboliku, dílo je spíš senzomotorický prožitek a stopa než vědomé sdělení. Pozorovat radši napětí, neklid a afekt jako neverbální signály. — Zdroj: Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.86	pripad16 arteterapie-diagnostika projekce
Případ 17 (roztroušená skleróza, 60 let): proč právě arteterapie? (bio·psycho·sociál)	Nabízí NEVERBÁLNÍ kanál tam, kde je řeč špatně srozumitelná (dysartrie), a prostor pro ZPRACOVÁNÍ ZTRÁTY u progresivního onemocnění. BIO: šetrná senzomotorika, ale POZOR na ÚNAVU. PSYCHO: ventil zlosti/úzkosti ze ztráty, zážitek úspěchu proti nízkému sebevědomí. SOCIÁL: kontakt bez tlaku na výslovnost, skupina lidí s RS. POZOR: arteterapie NELÉČÍ RS (onemocnění CNS) — je podpůrná. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.54, 70–71	pripad17 arteterapie indikace
Případ 17: jak v arteterapii zohlednit ÚNAVU (fatigue) u RS?	Únava je JÁDROVÝ příznak RS → KRÁTKÉ jednotky, ŠETŘIT energií, střídat tvorbu a odpočinek. Při velké únavě nabídnout RECEPTIVNÍ formu (vnímání hotového díla) místo náročné vlastní tvorby. Nepřetěžovat — dlouhá sezení zhoršují výkon i náladu. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.70–71	pripad17 arteterapie unava-setrici-rezim
Případ 17: jak vést arteterapii u PROGRESIVNÍHO a kolísavého onemocnění?	Cíl sezení se PRUŽNĚ přizpůsobuje aktuálnímu stavu (lepší/horší dny), ne fixně. Tvorba jako prostor pro ADAPTACI na zhoršování a přijetí změněné identity (získané postižení → nová, méně uspokojivá identita). Proces > produkt, podpora autonomie a sebevědomí. — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; klinicky Vágnerová STR.54, 70–71	pripad17 arteterapie principy-u-progresivni-nemoci
Případ 17: jak v arteterapii obejít DYSARTRII (neverbální kanál)?	Dysartrie = porucha VÝSLOVNOSTI při zachovaném jazyku a porozumění (≠ afázie, kde vázne sám jazyk). Komunikace přes DÍLO, gesta, obrázkové/AAK karty; dostatek času na sdílení. Netlačit na rychlou srozumitelnou řeč ani nejednat „přes hlavu”. Propojit s logopedií/AAK. — Zdroj: arte Slavík ⚠️ ověřit; klinicky Vágnerová STR.49, 70	pripad17 arteterapie neverbalni-komunikace
Případ 17: které dělení arteterapie zvolit a proč i receptivní?	Převážně PRODUKTIVNÍ (vlastní tvorba), individuální i SKUPINOVÁ. Kvůli ÚNAVĚ ale střídat s RECEPTIVNÍ formou (vnímání díla — šetří energii). V terapii arteterapie (zpracování ztráty), ve stacionáři lze i artefiletický přesah. Skupina lidí s RS → sdílení a efekt similarity. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.53, 70	pripad17 arteterapie deleni
Případ 17: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: PRODUKTIVNÍ s receptivními vstupy (únava), individuální i skupinová, NEDIREKTIVNÍ, PROCES-orientovaná, v ŠETŘÍCÍM režimu (krátké jednotky, pružnost). Cíle: neverbální sebevyjádření, zpracování ztráty a adaptace na zhoršování, zážitek úspěchu proti nízkému sebevědomí, podpora autonomie. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR.54, 70–71	pripad17 arteterapie volba-pristupu
