"Front","Back","Tags"
"Případ 14: jak vyložit umístění v rehabilitačním ústavu a roli rodiny?","Rehabilitační ústav = somatická rehabilitace, ale obnova přijatelné identity vyžaduje stejné (často delší) úsilí než rehabilitace těla. Rodiče se obvykle vrátí k pečovatelskému postoji a postiženého VMANIPULUJÍ do role závislého dítěte — podporovat partnerský, ne podřízený vztah a samostatnost. — Zdroj: Vágnerová STR.62","pripad14 somatopedie kontext-pripadu"
"Případ 14: s kým / čím propojit (organizace, odborníci v ČR)?","Centrum Paraple (specializovaná pomoc po poškození míchy, nácvik soběstačnosti). Rehabilitační ústav (somatická rehabilitace). Liga vozíčkářů (sociální poradenství, bezbariérovost). Klinický psycholog (krizová intervence, prevence deprese). Sociální odbor / příspěvek na péči a na pomůcky. — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad14 organizace propojeni"
"Případ 15: jaké dvě roviny postižení se zde kombinují?","1) Rozštěp páteře (spina bifida) = VROZENÁ vývojová vada uzávěru neurální trubice → postižení hybnosti DK (somatopedie). 2) Syndrom CAN (týrání) = ZÍSKANÉ psychické trauma z fyzického týrání otcem alkoholikem. Tělesné postižení + týrání se SKLÁDAJÍ (násobí zranitelnost). — Zdroj: Vágnerová STR.70, 181; Pipeková ⚠️","pripad15 somatopedie definice"
"Co je syndrom CAN a jaké jsou jeho tři varianty?","CAN (Child Abuse and Neglect) = jakékoli nenáhodné jednání dospělého, v dané společnosti odmítané, jež poškozuje tělesný, duševní a společenský vývoj dítěte. Trpí jím ~1–2 % dětí. TŘI VARIANTY: 1) Zanedbávání (citová/sociokulturní deprivace), 2) Týrání fyzické i psychické (← tento případ: bití, nadměrné tresty), 3) Sexuální zneužívání. — Zdroj: Vágnerová STR.181","pripad15 etopedie typ-varianty-can"
"Případ 15 (KLÍČOVÉ): proč chlapec reaguje přecitlivěle na prospěch a co to znamená?","Týrané děti mají HORŠÍ PROSPĚCH, než odpovídá jejich předpokladům — chybí jim motivace a sebedůvěra, očekávají neúspěch a negativní hodnocení. Přecitlivělost je DŮSLEDEK TÝRÁNÍ (CAN), NE tíže postižení ani snížený intelekt. Horší prospěch ≠ nízká inteligence. — Zdroj: Vágnerová STR.182–183","pripad15 etopedie diferenciace-jadro-pripadu"
"Jak se projevuje syndrom CAN u týraného dítěte (případ 15)?","Negativní sebehodnocení a přijetí role „špatného dítěte“ (pocit viny). Přecitlivělost a vztahovačnost — nedovede správně číst běžné projevy lidí, očekává ubližování i od neutrálních osob (učitel). Identifikace s agresorem (agrese k slabším) nebo únik/izolace. Autostimulace a sebepoškozování jako odreagování napětí. — Zdroj: Vágnerová STR.182–183","pripad15 etopedie projevy"
"Co je identifikace s agresorem a proč týrané dítě lpí na týrajícím rodiči (případ 15)?","Identifikace s agresorem = obranný mechanismus: dítě se začne chovat jako trýznitel (agrese k slabším) → zbaví se pocitu bezmoci. Paradoxně může na týrajícího rodiče NEPOCHOPITELNĚ LPĚT — také obrana (rodič je jediná vazba, dítě hledá jeho přízeň). Nedivit se tomu, je to typické. — Zdroj: Vágnerová STR.182","pripad15 etopedie diferenciace-obrany-zlobeni"
"VROZENÉ × ZÍSKANÉ u případu 15 (rozštěp × týrání)?","Rozštěp páteře je VROZENÉ postižení (chlapec na něj zvyklý od dětství). Týrání přidává ZÍSKANÉ psychické trauma. Vágnerová: „negativní vlivy se v případě postižených dětí SKLÁDAJÍ“ — postižené dítě je zranitelnější a hůře se týrání brání. Priorita: bezpečí dítěte. — Zdroj: Vágnerová STR.57, 183","pripad15 somatopedie etiologie-vrozene-ziskane"
"Terapie (případ 15) — čeho se VYVAROVAT?","Nepřehlédnout a nebagatelizovat týrání (trpí jím víc dětí, než je zachyceno). Nehodnotit přecitlivělost a horší prospěch jako lenost nebo nízký intelekt. Netrestat agresi a sebepoškozování jako „zlobení“ — jsou to obrany. Nedivit se lpění na týrajícím otci. Nezvyšovat tlak a kritiku ve škole (posiluje očekávání neúspěchu). — Zdroj: Vágnerová STR.182–183","pripad15 etopedie terapie-vyvarovat-se"
"Terapie (případ 15) — na čem PRACOVAT?","PRIORITA: zajistit bezpečí — ohlásit podezření na týrání (OSPOD). Obnova sebedůvěry a sebehodnocení zážitkem bezpečného, spolehlivého vztahu. Trpělivé budování důvěry (počítat se vztahovačností, nereagovat odmítnutím). Citlivá podpora ve škole, oceňovat pokrok ne jen výkon. Péče o tělesné postižení (Denní centrum, fyzioterapie, soběstačnost). — Zdroj: Vágnerová STR.181–183, 70","pripad15 etopedie terapie-pracovat-na"
"Případ 15: s kým / čím propojit (organizace, odborníci v ČR)?","OSPOD (orgán sociálně-právní ochrany dětí) — ochrana před týráním, priorita. Dětské krizové centrum / Linka bezpečí — krizová pomoc týranému dítěti. SVP (středisko výchovné péče) / etoped — práce s chováním a obrannými reakcemi. Denní centrum pro tělesně postižené (už využívá). SPC pro tělesné postižení / PPP / klinický psycholog — vzdělávání a terapie traumatu. — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad15 organizace propojeni"
"Co je dětský autismus a kdo jej popsal?","Nejvýznamnější pervazivní vývojová porucha. VROZENÁ porucha poznávacích procesů a socializace; vývoj odlišný od počátku života. Postihuje ~3–5 dětí z 10 000, častěji chlapce. Poprvé popsal 1943 L. Kanner. — Zdroj: Vágnerová kap.11.1, STR.84","pripad16 speciální pedagogika osob s PAS definice"
"Dětský autismus v rámci spektra PAS — čím se liší od ostatních podtypů?","Dětský autismus (F84.0): plná triáda od raného věku, řeč nápadná/chybí, MR u 75 %. Aspergerův sy (F84.5): intelekt i řeč v normě. Atypický autismus (F84.1): neúplná kritéria. Hellerův sy (F84.3): regres po normálním vývoji do 2 let. — Zdroj: Vágnerová STR.84–87","pripad16 speciální pedagogika osob s PAS typ-pas"
"Dvě skupiny symptomů autismu (triáda PAS) podle Vágnerové?","1) NEGATIVNÍ symptomy (chybění projevů): poruchy socializace, poznávání (orientace), rozvoje řeči (komunikační funkce). 2) POZITIVNÍ symptomy (nadměrné/zkreslené): odchylky v chování — autostimulace, sebezraňování. Odpovídá triádě: interakce + komunikace + stereotypní chování. — Zdroj: Vágnerová STR.84–85","pripad16 speciální pedagogika osob s PAS projevy-triada"
"Jaké jsou příčiny dětského autismu (a jaký mýtus vyvrátit)?","Vrozená neurovývojová porucha — ORGANICKÉ postižení mozku, převážně GENETICKÉ předurčení. Faktory vnějšího prostředí nehrají podstatnou roli. POZOR: teorie „chladné matky"" (Bettelheim) je VYVRÁCENÝ, překonaný mýtus! — Zdroj: Vágnerová STR.84","pripad16 speciální pedagogika osob s PAS etiologie"
"Co je echolálie a proč u autismu neznamená porozumění?","Echolálie = opakování slov/vět druhého člověka BEZ porozumění a bez potřeby pochopit obsah. Děti reprodukují řeč jako jiné zvuky. Řeč u autismu NENÍ používána ke komunikaci (spíš repetitivní monolog). Typické i mluvení o sobě ve 3. osobě, nepoužívání „já"". — Zdroj: Vágnerová STR.86","pripad16 logopedie diferenciace"
"Terapie dětského autismu — čeho se VYVAROVAT?","Nesvádět autismus na rodinu (mýtus chladné matky). Neměnit náhle prostředí/režim (dezorientace, afekt). Nečekat samovolnou generalizaci (naučené ve škole neumí použít doma). Nepřetěžovat komplexními podněty a hlukem. Nemotivovat pochvalou (sociální ocenění nemá hodnotu). Sebepoškozování nechápat jako zlobení. — Zdroj: Vágnerová STR.84–86","pripad16 speciální pedagogika osob s PAS terapie-vyvarovat-se"
"Terapie dětského autismu — na čem PRACOVAT?","Strukturované, předvídatelné prostředí, neměnný řád a rituály (uspokojují, „nezatěžují""). Vizualizace (obrázkový denní režim). Logopedie + AAK na smíšenou poruchu řeči. Nácvik základních sociálních dovedností (= minimální sociální standard). Včasná všestranná podpora rodiny. — Zdroj: Vágnerová STR.86–87; Thorová/Klenková ⚠️","pripad16 speciální pedagogika osob s PAS terapie-pracovat-na"
"Případ 16: jak vyložit smíšenou poruchu řeči, poruchy spánku a psychomotorický neklid?","Smíšená porucha řeči (NKS) doplňuje jádrovou poruchu komunikace u autismu — řešit logopedií + AAK. Poruchy spánku a psychomotorický neklid souvisí s narušeným zpracováním podnětů a úzkostí (Vágnerová je u autismu výslovně nerozvádí ⚠️ doplněno z Thorové) — pomáhá spánková hygiena a snížení smyslové zátěže. — Zdroj: Vágnerová STR.85–86; Thorová ⚠️","pripad16 logopedie kontext-pripadu"
"Případ 16: s kým / čím propojit (organizace, odborníci v ČR)?","NAUTIS (dříve APLA) — diagnostika, strukturované učení. SPC pro PAS — IVP, speciální vzdělávání (integrace „nebývá příliš účelná""). Klinický logoped (smíšená porucha řeči, AAK). Dětský psychiatr (spánek, neklid). Raná péče / sociální odbor. — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad16 organizace propojeni"
"Co je roztroušená skleróza (RS) a jak ji Vágnerová zařazuje?","RS = chronické, PROGRESIVNÍ neurologické onemocnění (demyelinizace — poškození obalů nervových vláken v CNS) s KOLÍSAVÝM, postupně se zhoršujícím průběhem; postihuje hybnost, řeč, citlivost, únavu i psychiku. Vágnerová ji řadí do rámce TĚLESNÉHO POSTIŽENÍ, kde jsou klíčové dva aspekty: omezení pohyblivosti a viditelná odlišnost. — Zdroj: Vágnerová kap.8.6, STR.70; Pipeková ⚠️","pripad17 somatopedie definice"
"Co je dysartrie a čím se liší od afázie?","Dysartrie = porucha MOTORICKÉ REALIZACE řeči (artikulace) při poškození nervosvalového řízení mluvidel → „špatně srozumitelná řeč"". Na rozdíl od afázie NENÍ narušen jazyk ani porozumění — je narušena jen výslovnost (člověk ví, co chce říct). Afázie (případ 5) = ztráta jazyka/porozumění po poškození mozku. — Zdroj: Neubauer ⚠️; odlišení Vágnerová STR.49","pripad17 logopedie definice-odliseni"
"Které dva aspekty tělesného postižení Vágnerová zdůrazňuje?","1) OMEZENÍ POHYBLIVOSTI → soběstačnost (lokomoce + sebeobsluha, ruce) určuje kvalitu života; vede k závislosti na druhých, omezení sociálních zkušeností a riziku izolace. 2) VIDITELNÁ ODLIŠNOST → snižuje sociální status a sebehodnocení; reakce okolí ovlivňují sebepojetí. — Zdroj: Vágnerová STR.70","pripad17 somatopedie klasifikace-aspekty"
"Jak se projevuje RS s dysartrií (případ 17)?","Řeč (dysartrie): špatně srozumitelná výslovnost při zachovaném jazyku a porozumění → komunikační neúspěch zatěžuje sebevědomí. Hybnost a soběstačnost: omezení lokomoce a sebeobsluhy → závislost. Únava: typický příznak RS, snižuje výkon. Kolísavost a progrese: lepší/horší dny, postupné zhoršování. Psychika: nízké sebevědomí, riziko deprese, tendence generalizovat problémy. — Zdroj: Vágnerová STR.70–71; Neubauer, Pipeková ⚠️","pripad17 somatopedie projevy"
"Etiologie u případu 17 — bio/psycho/sociál + vrozené × získané?","BIO = hlavní: demyelinizace v CNS → porucha hybnosti, citlivosti, řeči (dysartrie), únava; progresivní a kolísavý průběh. PSYCHO = modifikátor (klíč): nízké sebevědomí z poklesu soběstačnosti a komunikačního neúspěchu; zvládání zlosti a úzkosti. SOCIÁL = generalizace „závislá"" + riziko vyhýbání se lidem. SPIRITUÁL ⚠️ = rozměr důstojnosti, ne etiologie. RS je ZÍSKANÁ a PROGRESIVNÍ → nutnost přijmout novou identitu. — Zdroj: Vágnerová STR.54,70–71; Pipeková ⚠️","pripad17 somatopedie etiologie"
"Případ 17: NEJDŮLEŽITĚJŠÍ odlišení — dysartrie × afázie × intelekt?","Dysartrie (tento případ) = porucha VÝSLOVNOSTI; jazyk a porozumění ZACHOVÁNY. Afázie (případ 5) = vázne sám JAZYK/porozumění po poškození mozku. Špatně srozumitelná řeč ≠ snížený intelekt — nejednat s pacientkou „přes hlavu"". RS je PROGRESIVNÍ a KOLÍSAVÁ (ne stacionární) → pružný přístup, ne fixní nároky. — Zdroj: Vágnerová STR.49,70","pripad17 logopedie diferenciace-kontext-pripadu"
"RS + dysartrie — čeho se VYVAROVAT?","Nepřetěžovat (únava a kolísavý stav; nadměrná zátěž zhoršuje výkon i náladu). Nezaměnit špatně srozumitelnou řeč za snížený intelekt ani nejednat „přes hlavu"". Negeneralizovat člověka jako „úplně závislého"" — podporovat zachované kompetence. Neignorovat kolísavost (lepší/horší dny, ne fixní nároky). Nepodceňovat psychiku (nízké sebevědomí, riziko deprese). — Zdroj: Vágnerová STR.49,70–71; Pipeková ⚠️","pripad17 somatopedie terapie-vyvarovat-se"
"RS + dysartrie — na čem PRACOVAT?","Logopedie dysartrie (srozumitelnost řeči, tempo, dech; dle potřeby AAK). Fyzioterapie a udržení soběstačnosti + kompenzační pomůcky. Přiměřená, PRUŽNÁ zátěž s ohledem na únavu a kolísání. Posílení sebevědomí (zaměřit se na zvládnuté činnosti a úspěchy v komunikaci). Podpora přijetí změněné identity a zvládání zlosti/úzkosti. — Zdroj: Vágnerová STR.54,70–71; Neubauer ⚠️","pripad17 somatopedie terapie-pracovat-na"
"Případ 17: s kým / čím propojit (organizace, odborníci v ČR)?","Neurolog (RS centrum — léčba RS, zpomalení progrese, sledování stavu), klinický logoped (terapie dysartrie, příp. AAK), fyzioterapeut/ergoterapeut (hybnost, soběstačnost, pomůcky), Unie Roska (organizace lidí s RS — poradenství, svépomoc, rehabilitace), denní stacionář (už využívá) + klinický psycholog (podpora sebevědomí). ⚠️ ověřit aktuálnost. — Zdroj: bibliografie.md ⚠️ ověřit","pripad17 organizace propojeni"
"Co je nízkofunkční autismus?","Těžká forma poruchy autistického spektra v rámci dětského autismu (vrozená porucha poznávání a socializace). Charakteristické těžké postižení komunikace a porozumění a velmi častá kombinace s MR (mentální retardace postihuje 75 % autistických dětí). — Zdroj: Vágnerová kap.11.1, STR.84, 86","pripad18 speciální pedagogika osob s PAS definice"
"Nízkofunkční autismus v rámci spektra PAS — kde leží?","Nejnižší funkčnost spektra: těžké postižení komunikace a porozumění, často + MR. Proti tomu dětský autismus střední funkčnosti (řeč nápadná), Aspergerův sy (intelekt i řeč v normě) a atypický autismus (neúplná kritéria). — Zdroj: Vágnerová STR.86–87; Thorová ⚠️","pripad18 speciální pedagogika osob s PAS typ-pas"
"Triáda PAS u nízkofunkčního autismu — jak vypadá?","Triáda = sociální interakce + komunikace + stereotypní chování. U nízkofunkční formy je nejtěžší porucha KOMUNIKACE a porozumění (rozumí jen pár slovům) + výrazné stereotypie/autostimulace + snížené rozumové schopnosti. — Zdroj: Vágnerová STR.84–86","pripad18 speciální pedagogika osob s PAS projevy-triada"
"Případ 18: co znamená „narušené sluchové vnímání"" u autismu (KLÍČOVÉ)?","NENÍ to periferní hluchota! Jde o poruchu CENTRÁLNÍHO zpracování (dysgnózie). Dítě sluch má velmi dobře rozvinutý, přesně diferencuje zvuky, ALE neodlišuje zvuky řečové od jiných a nedekóduje význam slov. Proto slyší na jméno, ale nerozumí slovům. — Zdroj: Vágnerová STR.85","pripad18 speciální pedagogika osob s PAS diferenciace"
"Jaké jsou příčiny PAS / nízkofunkčního autismu (a jaký mýtus vyvrátit)?","Vrozená neurovývojová porucha — ORGANICKÉ postižení mozku, převážně GENETICKÉ předurčení; faktory prostředí nehrají podstatnou roli. U nízkofunkční formy + snížené rozumové schopnosti (MR). POZOR: teorie „chladné matky"" (Bettelheim) je VYVRÁCENÝ mýtus! — Zdroj: Vágnerová STR.84, 86","pripad18 speciální pedagogika osob s PAS etiologie"
"Nízkofunkční autismus × periferní sluchové postižení × MR — jak odlišit?","Nízkofunkční autismus: slyší, ale centrální zpracování narušeno (dysgnózie), plná triáda, často + MR. Periferní sluchové postižení: narušen příjem zvuku uchem, ale zájem o kontakt a komunikaci zachován. MR (bez autismu): sluch v normě, vztah k blízké osobě vzniká. — Zdroj: Vágnerová STR.77, 82, 85; kap.8.5","pripad18 speciální pedagogika osob s PAS diferenciace"
"Terapie nízkofunkčního autismu — čeho se VYVAROVAT?","Nezaměnit za periferní hluchotu (zesílení zvuku nepomůže). Nespoléhat na mluvenou instrukci (rozumí jen pár slovům) — používat vizuál a AAK. Neměnit náhle prostředí/režim. Nepřetěžovat hlasitými/komplexními podněty (přecitlivělost). Sebepoškozování nechápat jako zlobení. — Zdroj: Vágnerová STR.85–86; Thorová ⚠️","pripad18 speciální pedagogika osob s PAS terapie-vyvarovat-se"
"Terapie nízkofunkčního autismu — na čem PRACOVAT?","Vizualizace + AAK (piktogramy, výměnné karty) jako náhrada chybějícího porozumění řeči. Strukturované učení (TEACCH), neměnný řád a rituály. Nácvik sebeobsluhy po malých krocích. Materiální/strukturovaná odměna místo pochvaly. Všestranná podpora rodiny. — Zdroj: Vágnerová STR.85–87; Thorová ⚠️","pripad18 speciální pedagogika osob s PAS terapie-pracovat-na"
"Případ 18: s kým / čím propojit (organizace, odborníci v ČR)?","NAUTIS (dříve APLA) — diagnostika, strukturované učení, AAK. SPC pro PAS — IVP, speciální vzdělávání. Foniatr/audiolog — vyloučit periferní vadu sluchu (dif. dg.). Klinický logoped — AAK. Sociální odbor / příspěvek na péči. — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad18 organizace propojeni"
"Co je mentální retardace a kde je „hranice defektivity""?","Souhrnné označení VROZENÉHO defektu rozumových schopností (méně než 70 % normy), trvalého. Příčinou je porucha CNS. Hranice mentální defektivity = IQ 70 (průměr = IQ 100). V populaci ~3 %. — Zdroj: Vágnerová kap.10, STR.77, 78","pripad19 psychopedie definice"
"Lehká mentální retardace (F70) — úroveň myšlení, řeči a učení?","IQ 50–69. Myšlení na úrovni dětí STŘEDNÍHO ŠKOLNÍHO VĚKU — respektuje některá pravidla logiky, ale NEUVAŽUJE abstraktně (chybí abstraktní pojmy, jen konkrétní označení). JE schopen se učit, zvládne výuku ve zvláštní/pomocné škole (ZŠ speciální/praktická). — Zdroj: Vágnerová STR.78","pripad19 psychopedie stupen-f70"
"ZKUŠEBNÍ PAST: případ 19 (F70) vs případ 22 (F71) — jaký je rozdíl?","Medailonek je skoro identický (muž 34 let, vada řeči, ZŠ speciální, šikanován, potíže v kontaktu). JEDINÝ rozdíl: 19 = LEHKÁ MR (F70, IQ 50–69, myšlení ≈ školák, respektuje logiku); 22 = STŘEDNĚ TĚŽKÁ MR (F71, IQ 35–49, myšlení ≈ předškolák) + navíc AGRESIVITA/SEBEPOŠKOZOVÁNÍ. Případ 19 agresivitu v zadání NEMÁ. — Zdroj: Vágnerová STR.78, 82–83","pripad19 psychopedie diferenciace-stupnu"
"Případ 19: jak vyložit šikanu a „potíže v navazování kontaktu s okolím""?","Šikana = násilně ponižující chování vůči slabšímu; slabost oběti agresi posiluje. NENÍ příčinou MR — je to SOCIÁLNÍ DŮSLEDEK → snížené sebevědomí, nedůvěra, strach → potíže v kontaktu. Řešení: obnova důvěry, nácvik sociálních dovedností, netlačit do kontaktu silou. — Zdroj: Vágnerová STR.81, 155","pripad19 psychopedie kontext-pripadu"
"Hlavní příčiny vzniku mentální retardace?","1) Dědičné (Downův sy = trizomie 21; polygenní). 2) Teratogenní prenatální (záření, alkohol, léky, virus zarděnek). 3) Perinatální (asfyxie, krvácení do mozku). 4) Postnatální do 18 měsíců (později = získané). POZOR: pseudooligofrenie (ze zanedbanosti, bez narušení CNS) NENÍ MR. — Zdroj: Vágnerová STR.78","pripad19 psychopedie etiologie"
"Mentální retardace × demence × pseudooligofrenie?","MR = VROZENÝ defekt rozumu od počátku vývoje, trvalý, CNS narušena. Demence = ZÍSKANÝ úbytek dříve normálního rozumu (zhoršuje se). Pseudooligofrenie = ze zanedbanosti, CNS bez narušení, zlepšitelná v lepším prostředí (NENÍ MR). — Zdroj: Vágnerová STR.77, 78","pripad19 psychopedie diferenciace"
"Případ 19 (lehká MR + šikana) — čeho se VYVAROVAT?","Nepřetěžovat abstrakcí (F70 chápe konkrétní logiku, ne abstraktní pojmy). Nepoužívat ironii/metafory/složité instrukce. Nebagatelizovat následky šikany — netlačit do kontaktu silou, budovat důvěru postupně. Nezneužít sugestibilitu (chránit před manipulací). Nenechat dospělého bez vedení. — Zdroj: Vágnerová STR.78, 80, 81, 155","pripad19 psychopedie terapie-vyvarovat-se"
"Případ 19 (lehká MR + šikana) — na čem PRACOVAT?","Klidné, srozumitelné, BEZPEČNÉ prostředí + pravidelný režim. Obnova důvěry a sebevědomí po šikaně (pozitivní zkušenosti, nácvik sociálních dovedností). Pracovní začlenění přiměřené F70 (zvládne jednoduchou práci) — podporované zaměstnávání. Pozitivní hodnocení/pochvala. Logopedie na vadu řeči. — Zdroj: Vágnerová STR.79, 81, 82–83, 155","pripad19 psychopedie terapie-pracovat-na"
"Případ 19: s kým / čím propojit (organizace, odborníci v ČR)?","SPC (diagnostika, poradenství), klinický logoped (vada řeči), psycholog/psychoterapie (následky šikany, sociální dovednosti), podporované zaměstnávání / chráněné dílny, SPMP ČR, sociální odbor (příspěvek na péči). — Zdroj: bibliografie.md ⚠️ ověřit aktuálnost","pripad19 organizace propojeni"
"Co je demence a v čem je klíčový rozdíl oproti mentální retardaci?","Demence = syndrom úbytku komplexu kognitivních funkcí (hlavně inteligence a paměti) — ZTRÁTA již rozvinutých funkcí, ZÍSKANÉ postižení na organickém podkladě CNS, progredující. MR je naopak VROZENÁ od počátku vývoje. ('Stařecká demence' = laický pojem pro demenci ve stáří, nejčastěji Alzheimerova/smíšená.) — Zdroj: Vágnerová kap.9, STR.72–73","pripad20 gerontopedie definice-diferenciace"
"Co jsou BPSD (behaviorální a psychologické symptomy demence)?","Emoční a behaviorální projevy demence vedle kognitivních: poruchy emotivity (labilita, dráždivost), afektivní výbuchy, agitovanost, negativismus, apaticko-abulický syndrom; ztráta empatie, bezohlednost, egocentrismus → ztěžují soužití. Poruchy emotivity jsou STABILNÍM a typickým příznakem demencí. — Zdroj: Vágnerová STR.73–74; Pidrman ⚠️","pripad20 gerontopedie bpsd-projevy"
"Případ 20: proč odmítá fyzioterapii a jakoukoliv činnost?","Jde o APATICKO-ABULICKÝ SYNDROM — zúžení až ztráta motivace, iniciativy a zájmu o cokoli. Je to PŘÍZNAK NEMOCI (organický podklad), NE lenost ani naschvál. Reakce: nabízet drobnou činnost po malých krocích bez nátlaku, navázat na chvíle ochoty. — Zdroj: Vágnerová STR.73","pripad20 gerontopedie kontext-pripadu"
"Případ 20: proč vyvolává konflikty se spolubydlícími?","Demence vede ke ztrátě empatie, k bezohlednosti, egocentrismu, dráždivosti a negativismu — nemocní přestávají respektovat běžné normy chování. Je to BPSD, ne 'zlá povaha'. Reakce: nekonfrontovat, neargumentovat logikou, validovat, předcházet spouštěčům a oddělit od dráždivých situací. — Zdroj: Vágnerová STR.73–74, 76","pripad20 gerontopedie kontext-pripadu"
"Případ 20: jak do rozboru zahrnout zármutek a izolaci?","Čerstvé ovdovění (úmrtí manžela) = akutní psychická zátěž, která prohlubuje apatii, depresi i dráždivost. Sociální izolace (synové na návštěvě jen 2× ročně) odebírá podpůrný kontakt, který demenci zmírňuje. PSYCHO a SOCIÁL jsou zde silné modifikátory průběhu — patří do analýzy. — Zdroj: Vágnerová STR.74–76","pripad20 gerontopedie etiologie-kontext"
"Hlavní příčina (etiologie) demence — bio/psycho/sociál?","BIO = hlavní: organické poškození CNS (neurodegenerace u Alzheimera — nejčastější; nebo cévní poškození). PSYCHO a SOCIÁL = modifikátory (u případu 20 silné: zármutek po ovdovění, izolace). SPIRITUÁL ⚠️ = jen rozměr důstojnosti, doprovázení a péče, NE etiologie. — Zdroj: Vágnerová STR.72–74","pripad20 gerontopedie etiologie"
"Demence s BPSD — čeho se VYVAROVAT?","Neargumentovat logikou a nevyvracet realitu (nemocný nechápe → výbuch). Nekonfrontovat a netlačit do činnosti silou. Nepřičítat vinu za konflikty ('dělá to schválně'). Nepodporovat únik rodiny ('nemá to smysl') — prohlubuje izolaci. Nepřehlížet čerstvý zármutek. — Zdroj: Vágnerová STR.74, 76","pripad20 gerontopedie terapie-vyvarovat-se"
"Demence s BPSD — na čem PRACOVAT?","VALIDACE (přijmout prožívání, neopravovat realitu, klidný tón). Stabilní známý režim a předvídatelnost. Drobná dobrovolná aktivizace po malých krocích (bez nátlaku) proti apatii. Mírnit konflikty předcházením spouštěčů. Podpora kontaktu s rodinou a se známými (návštěvy působí podpůrně). — Zdroj: Vágnerová STR.74–76; Pidrman/Jirák ⚠️","pripad20 gerontopedie terapie-pracovat-na"
"Případ 20: s kým / čím propojit (organizace, odborníci v ČR)?","Domov pro osoby se ZP / domov se zvláštním režimem, psychiatr/geriatr (zvládání BPSD, případná medikace), fyzioterapeut (citlivě, bez nátlaku), Česká alzheimerovská společnost (ČALS), sociální pracovník/rodina (řešit izolaci, podpořit návštěvy synů; příspěvek na péči). ⚠️ ověřit aktuálnost. — Zdroj: bibliografie.md ⚠️ ověřit","pripad20 organizace propojeni"
"Co je atypický autismus a čím se liší od dětského autismu?","Pervazivní vývojová porucha (PAS, F84.1), která NESPLŇUJE PLNĚ kritéria dětského autismu — buď nastupuje později, nebo je triáda neúplná (chybí příznaky v jedné oblasti). Vývoj je odlišný od počátku života jako u ostatních PAS. — Zdroj: Vágnerová kap.11, STR.84; Thorová ⚠️","pripad21 speciální pedagogika osob s PAS definice"
"Atypický autismus v rámci spektra PAS — kde leží?","F84.1 — neúplná/atypická kritéria. Dětský autismus (F84.0) = plná triáda od raného věku. Aspergerův sy (F84.5) = intelekt i řeč v normě. Hellerův sy (F84.3) = regres po normálním vývoji do 2 let. U tohoto muže komorbidita s MR. — Zdroj: Vágnerová STR.87; Thorová ⚠️","pripad21 speciální pedagogika osob s PAS typ-pas"
"Triáda PAS u atypického autismu — jak vypadá?","Triáda = sociální interakce + komunikace + stereotypní chování. U atypického autismu je triáda NEÚPLNÁ nebo se projevila atypicky/později. Přítomna porucha socializace, omezená komunikace a potřeba neměnnosti (rituály). — Zdroj: Vágnerová STR.84–86; Thorová ⚠️","pripad21 speciální pedagogika osob s PAS projevy-triada"
"Jaké jsou příčiny PAS (a jaký mýtus vyvrátit)?","Vrozená neurovývojová porucha — ORGANICKÉ postižení mozku, převážně GENETICKÉ předurčení; faktory prostředí nehrají podstatnou roli. Autismus je vrozený i u dospělého. POZOR: teorie „chladné matky"" (Bettelheim) je VYVRÁCENÝ mýtus! — Zdroj: Vágnerová STR.84","pripad21 speciální pedagogika osob s PAS etiologie"
"Případ 21: jak v dospělosti odlišit reakci na ztrátu od demence?","Autismus (i atypický) je VROZENÝ, trvá celý život — mění se životní situace (smrt rodičů a sourozence, nástup do ÚSP), NE podstata poruchy. Afekt/regres po ztrátě = reakce na ztrátu a změnu, nezaměnit za demenci (získaný úbytek rozumu) ani psychózu. — Zdroj: Vágnerová STR.84, 87; kap.9","pripad21 speciální pedagogika osob s PAS diferenciace"
"Co o dospělých s autismem a ústavní péči říká Vágnerová?","I v dospělosti bývá sociální zařazení obtížné: potřebují chráněné bydlení a zaměstnání, často proto končí v ústavním zařízení. Jakákoli zvládnutelná pracovní činnost uchovává kompetence a dává životu náplň. (Odpovídá umístění do ÚSP.) — Zdroj: Vágnerová STR.84, 87","pripad21 speciální pedagogika osob s PAS kontext-pripadu"
"Terapie/péče u dospělého s atypickým autismem — čeho se VYVAROVAT?","Nezahltit změnami (náhlý přesun, nové osoby a režim jsou pro PAS extrémně zátěžové). Nepodceňovat truchlení a zmatek ze ztráty; afekt/regres nechápat jako zlobení. Nezaměnit reakci na ztrátu za demenci. Neměnit zbytečně pečující osoby. Nemotivovat sociální pochvalou. — Zdroj: Vágnerová STR.85–86; kap.9","pripad21 speciální pedagogika osob s PAS terapie-vyvarovat-se"
